region_name,year,month,avg_new_positives,vaccination
Calabria,2022,10,763.0238095238095,477075.0
Campania,2022,10,2053.5535714285716,1403619.0
Emilia-Romagna,2022,10,3105.482993197279,1126601.0
Friuli Venezia Giulia,2022,10,1110.0552147239264,299434.0
Lazio,2022,10,3109.3253012048194,1528702.0
Liguria,2022,10,968.8587570621469,411686.0
Lombardia,2022,10,6843.640522875817,2563247.0
Marche,2022,10,1016.4327731092437,376632.0
Molise,2022,10,116.89333333333333,81569.0
Piemonte,2022,10,3786.0445544554455,1102280.0
Puglia,2022,10,1359.6845238095239,1024285.0
Sardegna,2022,10,616.4057142857143,449078.0
Sicilia,2022,10,1262.3679653679653,1214203.0
Toscana,2022,10,2098.248226950355,971622.0
Umbria,2022,10,797.1719457013575,225409.0
Valle d'Aosta,2022,10,108.02112676056338,31747.0
Veneto,2022,10,5850.081632653061,1226968.0
Abruzzo,2022,11,818.3155339805825,332769.0
Basilicata,2022,11,127.33742331288343,148514.0
Calabria,2022,11,556.3737373737374,477077.0
Campania,2022,11,1901.9554455445545,1403636.0
Emilia-Romagna,2022,11,2718.255319148936,1126639.0
Friuli Venezia Giulia,2022,11,733.6148148148148,299479.0
Lazio,2022,11,2937.6780303030305,1528779.0
Liguria,2022,11,848.1372549019608,411758.0
Lombardia,2022,11,5758.704697986577,2563304.0
Marche,2022,11,821.7022222222222,376637.0
Molise,2022,11,91.70731707317073,81570.0
Piemonte,2022,11,2413.766169154229,1102330.0
Puglia,2022,11,1248.3178294573643,1024334.0
Sardegna,2022,11,559.4130434782609,449079.0
Sicilia,2022,11,1507.888888888889,1214212.0
Toscana,2022,11,1881.937062937063,971768.0
Umbria,2022,11,498.3224299065421,225431.0
Valle d'Aosta,2022,11,49.9290780141844,31748.0
Veneto,2022,11,4642.519607843137,1227032.0
Abruzzo,2022,12,860.5578947368421,332775.0
Basilicata,2022,12,146.0614525139665,148515.0
Calabria,2022,12,663.0994764397906,477080.0
Campania,2022,12,1983.3300492610838,1403643.0
Emilia-Romagna,2022,12,2044.1367924528302,1126681.0
Friuli Venezia Giulia,2022,12,666.5238095238095,299511.0
Lazio,2022,12,2336.827715355805,1528843.0
Liguria,2022,12,802.5853658536586,411811.0
Lombardia,2022,12,3375.1256038647343,2563361.0
Marche,2022,12,838.0904522613065,376646.0
Molise,2022,12,107.92233009708738,81570.0
Piemonte,2022,12,1551.608888888889,1102368.0
Puglia,2022,12,1377.5300546448088,1024374.0
Sardegna,2022,12,501.93288590604027,449085.0
Sicilia,2022,12,1571.7566371681417,1214232.0
Toscana,2022,12,1415.0601503759399,971875.0
Umbria,2022,12,415.94358974358977,225432.0
Valle d'Aosta,2022,12,36.243589743589745,31748.0
Veneto,2022,12,3661.010752688172,1227075.0
Abruzzo,2023,1,383.13986013986016,332780.0
Basilicata,2023,1,81.79285714285714,148515.0
Calabria,2023,1,380.22289156626505,477087.0
Campania,2023,1,819.7460317460317,1403659.0
Emilia-Romagna,2023,1,564.0432900432901,1126709.0
Friuli Venezia Giulia,2023,1,216.49655172413793,299531.0
Lazio,2023,1,1052.9173228346456,1528898.0
Liguria,2023,1,146.11309523809524,411860.0
Lombardia,2023,1,1089.3153846153846,2563401.0
Marche,2023,1,214.1834862385321,376649.0
Molise,2023,1,54.266666666666666,81570.0
Piemonte,2023,1,370.1869158878505,1102398.0
Puglia,2023,1,748.2537313432836,1024398.0
Sardegna,2023,1,244.3170731707317,449089.0
Sicilia,2023,1,937.2336448598131,1214247.0
Toscana,2023,1,435.92,971941.0
Umbria,2023,1,206.0374331550802,225439.0
Valle d'Aosta,2023,1,8.948275862068966,31748.0
Veneto,2023,1,1181.8688524590164,1227111.0
Abruzzo,2023,2,139.98275862068965,332782.0
Basilicata,2023,2,17.142857142857142,148516.0
Calabria,2023,2,109.67272727272727,477091.0
Campania,2023,2,302.90058479532166,1403663.0
Emilia-Romagna,2023,2,324.45535714285717,1126718.0
Friuli Venezia Giulia,2023,2,103.40517241379311,299542.0
Lazio,2023,2,759.5333333333333,1528912.0
Liguria,2023,2,86.14012738853503,411870.0
Lombardia,2023,2,638.5775862068965,2563422.0
Marche,2023,2,85.44654088050315,376650.0
Molise,2023,2,8.897435897435898,81570.0
Piemonte,2023,2,197.50884955752213,1102414.0
Puglia,2023,2,214.82876712328766,1024411.0
Sardegna,2023,2,116.98876404494382,449090.0
Sicilia,2023,2,256.67251461988303,1214254.0
Toscana,2023,2,257.8103448275862,971956.0
Umbria,2023,2,98.644578313253,225442.0
Valle d'Aosta,2023,2,7.833333333333333,31748.0
Veneto,2023,2,666.9111111111112,1227133.0
Abruzzo,2023,3,92.11827956989248,332783.0
Basilicata,2023,3,13.120689655172415,148516.0
Calabria,2023,3,71.94252873563218,477092.0
Campania,2023,3,272.87417218543044,1403666.0
Emilia-Romagna,2023,3,248.42105263157896,1126722.0
Friuli Venezia Giulia,2023,3,89.00934579439253,299545.0
Lazio,2023,3,502.22105263157897,1528927.0
Liguria,2023,3,75.51298701298701,411878.0
Lombardia,2023,3,632.452,2563432.0
Marche,2023,3,53.53448275862069,376651.0
Molise,2023,3,6.340909090909091,81570.0
Piemonte,2023,3,194.26315789473685,1102424.0
Puglia,2023,3,140.5808823529412,1024414.0
Sardegna,2023,3,64.82644628099173,449091.0
Sicilia,2023,3,146.16666666666666,1214257.0
Toscana,2023,3,187.5,971963.0
Umbria,2023,3,75.59322033898304,225442.0
Valle d'Aosta,2023,3,5.9411764705882355,31748.0
Veneto,2023,3,626.1311475409836,1227137.0
Abruzzo,2023,4,148.40816326530611,332783.0
Basilicata,2023,4,17.761904761904763,148516.0
Calabria,2023,4,107.92105263157895,477093.0
Campania,2023,4,377.2190476190476,1403666.0
Emilia-Romagna,2023,4,251.1259842519685,1126725.0
Friuli Venezia Giulia,2023,4,93.0,299546.0
Lazio,2023,4,388.2638888888889,1528933.0
Liguria,2023,4,94.3529411764706,411883.0
Lombardia,2023,4,596.2835051546392,2563444.0
Marche,2023,4,62.706896551724135,376651.0
Molise,2023,4,19.71875,81570.0
Piemonte,2023,4,260.8864864864865,1102428.0
Puglia,2023,4,190.63636363636363,1024414.0
Sardegna,2023,4,78.50847457627118,449091.0
Sicilia,2023,4,131.3106796116505,1214258.0
Toscana,2023,4,209.78021978021977,971963.0
Umbria,2023,4,84.89655172413794,225443.0
Valle d'Aosta,2023,4,6.285714285714286,31748.0
Veneto,2023,4,519.5744680851063,1227139.0
Abruzzo,2023,5,124.92857142857143,332783.0
Basilicata,2023,5,11.0,148516.0
Calabria,2023,5,79.86206896551724,477093.0
Campania,2023,5,247.6021505376344,1403666.0
Emilia-Romagna,2023,5,145.6178861788618,1126725.0
Friuli Venezia Giulia,2023,5,63.55172413793103,299547.0
Lazio,2023,5,331.7352941176471,1528935.0
Liguria,2023,5,72.80412371134021,411884.0
Lombardia,2023,5,344.2822966507177,2563447.0
Marche,2023,5,53.425925925925924,376652.0
Molise,2023,5,10.75,81570.0
Piemonte,2023,5,138.38219895287958,1102434.0
Puglia,2023,5,141.60759493670886,1024414.0
Sardegna,2023,5,65.95081967213115,449092.0
Sicilia,2023,5,87.72881355932203,1214258.0
Toscana,2023,5,167.6153846153846,971965.0
Umbria,2023,5,69.10714285714286,225443.0
Valle d'Aosta,2023,5,2.5,31748.0
Veneto,2023,5,311.4301075268817,1227141.0
